Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient_pred
1.4672704,0.7007682,0.41882545,0.9882556,0.17578904,1.8693446,1.3867444,0.80287266,-0.87896013,-0.091302216,1.0928389,-0.77062076,-0.36060777,-1.2550324,-0.14793393,-0.5692936,0.2250567,2.4359,-2.4434628,0.13560274,0.7055409,-0.9562417,0.73460066,0.106783435,-1.3297787,-1.1066933,-0.37274575,0.26271385,-1.4887903,2.030013,753.60895
1.4674575,0.69958884,0.4126054,0.97999465,0.17846547,1.8664016,1.3820215,0.8029418,-0.87599504,-0.09029397,1.0953863,-0.76578665,-0.35466164,-1.2469336,-0.14892101,-0.5661987,0.2264511,2.4211996,-2.4268568,0.13447371,0.7051071,-0.94958806,0.7339936,0.10571733,-1.3313318,-1.1035066,-0.37234032,0.2571081,-1.4839046,2.018337,753.2823
1.4642652,0.6986295,0.41359937,0.97836274,0.17879656,1.8627226,1.3798202,0.80020887,-0.8739878,-0.09254664,1.09229,-0.7651785,-0.35592565,-1.2453318,-0.14873059,-0.5668777,0.22465865,2.4186358,-2.425297,0.13335449,0.70294523,-0.9467962,0.7315129,0.105814636,-1.3274192,-1.1021345,-0.3715049,0.2584532,-1.4816716,2.016233,753.2336
1.4543772,0.6952483,0.41463593,0.97053826,0.18071532,1.8502799,1.3713931,0.79171365,-0.8667489,-0.09923419,1.0834844,-0.76168114,-0.35789493,-1.2376552,-0.148464,-0.56796837,0.21953362,2.4057722,-2.414932,0.12949175,0.6960633,-0.93588865,0.7235796,0.105764166,-1.3157386,-1.0968012,-0.3687664,0.2607879,-1.4730922,2.0058038,752.97327
1.4583626,0.69530547,0.40770715,0.96486133,0.18279077,1.8519574,1.3696624,0.7950413,-0.86640894,-0.09561306,1.0895333,-0.75794464,-0.35089627,-1.2320919,-0.14960271,-0.5643004,0.22296156,2.3952641,-2.4014652,0.12978613,0.6982446,-0.9330807,0.7259818,0.10466397,-1.3218452,-1.0954986,-0.36938995,0.25400674,-1.4712487,1.9975388,752.7299
1.4473674,0.69066644,0.40550742,0.9532289,0.18572691,1.8374852,1.357802,0.78741616,-0.85639834,-0.10168648,1.0792115,-0.75126576,-0.3495285,-1.2208024,-0.1497106,-0.56285626,0.21954711,2.3758683,-2.3830373,0.12420267,0.6905118,-0.9184257,0.71849716,0.103599995,-1.309954,-1.091058,-0.36556852,0.25395536,-1.4586229,1.9821341,752.31866
1.4239105,0.67502624,0.385096,0.91057295,0.20029488,1.807035,1.3156992,0.7834319,-0.8199059,-0.10182044,1.0393527,-0.7259826,-0.32608184,-1.1823571,-0.15665908,-0.54453766,0.231278,2.3057437,-2.3069787,0.09839434,0.6674875,-0.865844,0.71003085,0.10036495,-1.2829353,-1.1034032,-0.3550159,0.23941879,-1.4164698,1.9354892,750.34
1.4189646,0.6720032,0.37756723,0.8976299,0.2033022,1.7964476,1.30648,0.77917624,-0.81355333,-0.10510573,1.0407889,-0.7172962,-0.32013825,-1.1691065,-0.1565534,-0.54122555,0.22923934,2.2827423,-2.2822533,0.09646937,0.664938,-0.85444474,0.70573705,0.09779991,-1.2806878,-1.0946405,-0.3524593,0.23405705,-1.405613,1.9153001,749.9402
