Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient_pred
-34.179844,36.588512,-34.161606,-13.45166,41.673103,9.49443,-66.51601,8.939607,39.087612,36.670235,-43.30407,22.398499,50.396114,9.394486,-59.706165,47.09514,52.520077,-39.931366,57.265793,-39.03229,-17.917694,86.61099,15.34332,-40.17724,19.7287,-85.414825,26.68419,-50.40778,18.930326,-2.2890477,7089.9717
-34.179844,36.588512,-34.161606,-13.45166,41.673103,9.49443,-66.51601,8.939607,39.087612,36.670235,-43.30407,22.398499,50.396114,9.394486,-59.706165,47.09514,52.520077,-39.931366,57.265793,-39.03229,-17.917694,86.61099,15.34332,-40.17724,19.7287,-85.414825,26.68419,-50.40778,18.930326,-2.2890477,7089.9717
-34.179844,36.588512,-34.161606,-13.45166,41.673103,9.49443,-66.51601,8.939607,39.087612,36.670235,-43.30407,22.398499,50.396114,9.394486,-59.706165,47.09514,52.520077,-39.931366,57.265793,-39.03229,-17.917694,86.61099,15.34332,-40.17724,19.7287,-85.414825,26.68419,-50.40778,18.930326,-2.2890477,7089.9717
-34.179844,36.588512,-34.161606,-13.45166,41.673103,9.49443,-66.51601,8.939607,39.087612,36.670235,-43.30407,22.398499,50.396114,9.394486,-59.706165,47.09514,52.520077,-39.931366,57.265793,-39.03229,-17.917694,86.61099,15.34332,-40.17724,19.7287,-85.414825,26.68419,-50.40778,18.930326,-2.2890477,7089.9717
-32.035305,34.577293,-32.088615,-12.547479,39.25349,9.058709,-62.548836,8.538515,36.70762,34.522255,-40.851112,21.054781,47.469204,8.6769495,-56.170666,44.380894,49.481724,-37.32345,53.625916,-36.81835,-16.868408,81.46299,14.539633,-37.817837,18.430973,-80.69512,25.178919,-47.36538,17.791382,-2.0487866,6667.687
-23.403248,26.391626,-23.720806,-8.93246,29.471962,7.274239,-46.51096,6.8797054,27.104033,25.824467,-30.885195,15.622772,35.611618,5.842782,-41.889927,33.37368,37.18812,-26.865696,38.99103,-27.832218,-12.622772,60.666412,11.250581,-28.274378,13.218549,-61.50734,19.059336,-35.097397,13.18614,-1.0905542,4985.767
-19.884686,21.14907,-19.808786,-7.975144,24.592081,5.899954,-38.506786,5.266632,22.687065,21.183598,-24.870335,12.914701,29.165295,5.8281713,-35.015724,27.154507,30.828928,-23.435894,33.365692,-22.59157,-10.425347,50.603073,8.767521,-23.400549,11.328085,-49.666435,15.28395,-29.633127,10.868418,-0.88685375,4188.4653
-19.884686,21.14907,-19.808786,-7.975144,24.592081,5.899954,-38.506786,5.266632,22.687065,21.183598,-24.870335,12.914701,29.165295,5.8281713,-35.015724,27.154507,30.828928,-23.435894,33.365692,-22.59157,-10.425347,50.603073,8.767521,-23.400549,11.328085,-49.666435,15.28395,-29.633127,10.868418,-0.88685375,4188.4653
