Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient_pred
1.6305884,0.38960594,-0.12192853,-2.1251416,1.2425941,3.720394,-0.32065314,0.033129454,-0.23948523,0.025006698,-0.9203453,0.41538867,1.146425,0.8794195,-3.1900508,-0.9391919,2.4876184,-1.1558092,1.865073,-0.7242193,0.8347451,2.9838715,1.7494869,-0.01106279,-2.4125397,-2.4192348,0.036287557,-2.449342,-1.000687,0.36030918,78.81099
1.3652823,0.31967038,-0.0685242,-1.7817574,1.033857,3.067662,-0.28011236,0.04070039,-0.19260061,0.02582912,-0.75437325,0.353729,0.9245802,0.73836106,-2.6314259,-0.8002827,2.0318232,-0.9562409,1.5648003,-0.58342516,0.6734238,2.455131,1.4486651,-0.02060083,-1.998638,-1.9983904,0.035334107,-2.043047,-0.7919524,0.32126594,78.29018
1.285511,0.31382257,-0.05154037,-1.6774527,0.9947439,2.9046628,-0.27254468,0.020681402,-0.19237715,0.023952542,-0.6992524,0.32925367,0.86334145,0.70133066,-2.5001173,-0.7759072,1.9168125,-0.9104971,1.4695183,-0.53478336,0.63956815,2.332839,1.361284,-0.016325511,-1.897622,-1.8975096,0.033734765,-1.9537725,-0.75021243,0.32180005,78.15366
1.2015675,0.28868034,-0.032172944,-1.5659271,0.92538315,2.6912122,-0.25773087,0.028369734,-0.17742372,0.022097895,-0.6468082,0.30839348,0.7904011,0.6546044,-2.3142264,-0.7261346,1.767379,-0.8447437,1.3671985,-0.49199304,0.58546424,2.1576765,1.2576021,-0.016918425,-1.7617058,-1.7625554,0.029483136,-1.8170556,-0.68123424,0.3082639,77.972496
1.1594402,0.23834984,0.0025288574,-1.4765458,0.83597976,2.49546,-0.2420738,0.09760399,-0.17477137,0.016908482,-0.6364702,0.30025285,0.7385756,0.60720694,-2.1121378,-0.6273494,1.6322155,-0.77684754,1.2618722,-0.48368868,0.5290534,1.9787226,1.1461896,-0.0023168772,-1.6404022,-1.6720653,0.01835313,-1.6679063,-0.59489375,0.2796544,77.76647
1.1584839,0.23559968,0.0031806342,-1.4713011,0.8328882,2.488646,-0.24010047,0.10216908,-0.17660719,0.016203627,-0.6389185,0.29968512,0.73863316,0.6051814,-2.1036074,-0.61953413,1.6285281,-0.7749077,1.2542093,-0.48438892,0.5275237,1.9725306,1.1403702,1.9242987e-05,-1.6355346,-1.6717141,0.017393705,-1.6622201,-0.5922107,0.27910668,77.75767
1.1670476,0.21148127,0.012025658,-1.4770358,0.80081457,2.45508,-0.2362631,0.14212435,-0.17014682,0.016576,-0.6504244,0.30884612,0.7343732,0.599766,-2.0580902,-0.5893922,1.6005245,-0.75937194,1.2551174,-0.4997039,0.51385254,1.9281144,1.1311502,-0.0036830679,-1.6108553,-1.6542857,0.018698614,-1.6235063,-0.56663746,0.2643451,77.71353
1.1350821,0.21333553,0.021356348,-1.4305896,0.78798693,2.3893552,-0.23602608,0.13041943,-0.17038676,0.01546905,-0.62651724,0.2962922,0.70808744,0.5820452,-2.0056412,-0.5811392,1.5580368,-0.7395376,1.2113751,-0.47672012,0.4980897,1.8825711,1.0898931,0.002517756,-1.5759447,-1.6185207,0.014042508,-1.588897,-0.54776245,0.26365882,77.65243
