Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient_pred
6.268,6.831,-7.398,-6.213,11.366,8.894,-4.339,8.900,6.328,7.380,-4.592,2.166,8.530,-0.755,-8.123,4.502,14.062,-3.721,11.759,-5.041,-4.177,19.637,5.184,-0.371,-4.157,-18.171,-1.890,-8.738,1.485,5.379,1265.1414
6.111,6.649,-7.213,-6.061,11.069,8.664,-4.227,8.689,6.178,7.199,-4.489,2.120,8.324,-0.737,-7.908,4.396,13.713,-3.631,11.463,-4.908,-4.063,19.129,5.062,-0.363,-4.054,-17.714,-1.838,-8.516,1.455,5.247,1230.6329
5.536,5.987,-6.534,-5.507,9.983,7.825,-3.816,7.913,5.630,6.538,-4.113,1.954,7.568,-0.668,-7.122,4.007,12.435,-3.301,10.380,-4.424,-3.643,17.269,4.616,-0.335,-3.678,-16.041,-1.650,-7.705,1.347,4.763,1132.5872
4.943,5.302,-5.836,-4.938,8.863,6.960,-3.391,7.118,5.074,5.860,-3.734,1.787,6.794,-0.597,-6.308,3.612,11.127,-2.961,9.267,-3.919,-3.208,15.353,4.159,-0.305,-3.288,-14.316,-1.459,-6.868,1.240,4.268,1046.1414
4.927,5.285,-5.816,-4.920,8.833,6.936,-3.382,7.093,5.050,5.838,-3.717,1.778,6.768,-0.595,-6.288,3.597,11.083,-2.951,9.233,-3.909,-3.198,15.299,4.144,-0.305,-3.278,-14.269,-1.451,-6.845,1.233,4.251,1043.6155
3.670,3.835,-4.331,-3.706,6.456,5.100,-2.484,5.396,3.851,4.391,-2.894,1.414,5.114,-0.445,-4.568,2.747,8.288,-2.227,6.864,-2.849,-2.279,11.230,3.168,-0.244,-2.454,-10.608,-1.040,-5.069,0.997,3.191,849.2849
2.113,2.040,-2.495,-2.206,3.516,2.828,-1.372,3.298,2.369,2.601,-1.879,0.965,3.070,-0.258,-2.438,1.697,4.831,-1.333,3.933,-1.535,-1.142,6.195,1.961,-0.168,-1.434,-6.079,-0.531,-2.872,0.706,1.881,662.4394
0.907,-0.277,-0.954,-1.670,0.631,1.178,-0.089,2.027,2.352,1.850,-2.283,0.726,2.069,0.341,-0.271,1.196,3.594,-1.226,2.110,0.215,0.279,1.970,1.395,0.344,-0.667,-2.246,-0.786,-1.192,0.639,1.341,650.58203
