Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient_pred,ME_Coupling_coefficient_pred_corrected
6.84445,0.2655285,-3.603604,-7.240865,6.9757338,10.416007,-4.266617,6.5097313,1.4782753,3.7529335,-2.5573165,4.98032,7.4391594,2.7060194,-8.537433,2.8113036,12.062274,-4.9847255,8.280779,-6.4621797,-2.3514917,16.562492,2.6997366,-2.2375119,-6.4742455,-13.92199,-1.0658896,-9.501178,0.32171568,2.51064,640.0888,757.5513
6.578266,0.26269698,-3.455054,-6.962299,6.7220554,10.007501,-4.1031375,6.251322,1.4284723,3.6054728,-2.4547079,4.790265,7.1447997,2.606132,-8.20945,2.6951606,11.590694,-4.7917547,7.9516754,-6.2051744,-2.2681234,15.927295,2.5904438,-2.1541398,-6.22499,-13.383688,-1.030104,-9.134484,0.31080207,2.4192376,616.8343,730.6659
6.5761538,0.26268554,-3.4538212,-6.960065,6.720034,10.00421,-4.1018386,6.249297,1.4280434,3.6043053,-2.4539483,4.788808,7.1424694,2.605356,-8.206814,2.694298,11.586895,-4.7901926,7.9490004,-6.2031245,-2.2674527,15.922229,2.5895946,-2.1534805,-6.223005,-13.379422,-1.0297881,-9.131534,0.310729,2.4184847,616.64716,730.4529
6.573468,0.26265627,-3.4523265,-6.9572563,6.717475,10.0000925,-4.1001887,6.2466874,1.4275441,3.602817,-2.452908,4.7868857,7.1394987,2.6043465,-8.203507,2.693121,11.582142,-4.788248,7.9456844,-6.200532,-2.2666125,15.915821,2.5884902,-2.1526392,-6.2204905,-13.37399,-1.0294304,-9.127837,0.31061766,2.4175642,616.4127,730.18164
4.682242,0.2414186,-2.4022512,-4.9803224,4.9158897,7.102395,-2.9388485,4.408081,1.077017,2.5548458,-1.7184329,3.4314432,5.0475235,1.8929616,-5.876403,1.8620163,8.237277,-3.4202747,5.6137714,-4.3755546,-1.6751523,11.405291,1.8101833,-1.5600425,-4.450229,-9.548744,-0.77829707,-6.5264626,0.23171172,1.7709248,450.74432,507.66138
4.5154724,0.2394408,-2.310159,-4.8062086,4.757098,6.847318,-2.8364575,4.2457066,1.0464185,2.46241,-1.6531556,3.3114407,4.8630004,1.8300728,-5.6714983,1.7881747,7.942858,-3.2999356,5.408739,-4.2147245,-1.6230781,11.007786,1.7413844,-1.5077642,-4.294191,-9.211373,-0.75644493,-6.2974453,0.22462586,1.7141638,436.47495,487.4016
3.9272082,0.23293719,-1.9830426,-4.1910777,4.196645,5.945559,-2.4752076,3.6740494,0.93708354,2.136464,-1.4251964,2.8902993,4.212345,1.6089518,-4.947361,1.5302019,6.9019213,-2.8741465,4.6828175,-3.6469722,-1.4390256,9.604559,1.4994563,-1.3234599,-3.7434902,-8.021591,-0.6780443,-5.4879255,0.20020714,1.5127734,386.36676,427.03235
3.2512958,0.22523949,-1.6082659,-3.4847512,3.5528443,4.9103928,-2.0601687,3.0166934,0.81212467,1.7619002,-1.1621788,2.405384,3.4646335,1.3545455,-4.1159744,1.2326051,5.7070312,-2.385536,3.8500152,-2.9948359,-1.2277241,7.992765,1.2211236,-1.1116462,-3.1108756,-6.654413,-0.58858925,-4.558591,0.17187628,1.2819337,328.29913,349.2729
